scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence,model
1min,34,0.0228982464935124,0.005034491765397,132840,132806,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,35,0.0263877883241706,0.0089439885676705,132840,132805,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,36,0.0199700817407146,0.0002436857085974,132840,132804,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,37,0.020088495414535,0.0032153951718444,132840,132803,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,38,0.0169946027891833,0.0010968462489829,132840,132802,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,39,0.0191933929191659,0.0046142067543115,132840,132801,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,40,0.0171829219399163,0.0015596105365318,132840,132800,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,41,0.017353273160906,0.002717101125228,132840,132799,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,42,0.0158765966677805,0.0013943903773204,132840,132798,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,43,0.0169857535821939,0.0037421107353739,132840,132797,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,44,0.0160674355832221,0.0022370605002622,132840,132796,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,45,0.0216889404164368,0.0084747664462929,132840,132795,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,46,0.0232904330071742,0.0078311995334733,132840,132794,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,47,0.018353739012061,0.0007623125166633,132840,132793,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,48,0.0167968683936108,0.0023285386301384,132840,132792,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,49,0.0177322517528778,0.0046116575284419,132840,132791,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,50,0.0171878023873929,0.0029130923049269,132840,132790,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,51,0.0209073224219844,0.0076314086408051,132840,132789,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,52,0.0255308377424611,0.0107512867148394,132840,132788,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,53,0.0209256763300531,0.0029485644260101,132840,132787,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,54,0.02682160923242,0.0116036298404385,132840,132786,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,55,0.034596689141672,0.0175248757234739,132840,132785,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,56,0.0292432523890707,0.0063201991197234,132840,132784,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,57,0.0246844692280805,0.0041964461425822,132840,132783,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,58,0.0179567711261278,-0.0001383697018439,132840,132782,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,59,0.0201217189319152,0.0056796961422884,132840,132781,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,60,0.0197670845026676,0.0042438791709005,132840,132780,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,1,0.2790076222682316,0.2790076222682316,132840,132839,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,2,0.1487925529003768,0.0769364359607173,132840,132838,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,3,0.065320906946605,0.0060377219036729,132840,132837,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,4,0.0544085596344116,0.0269622221845523,132840,132836,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,5,0.0536639071815331,0.0300270140975463,132840,132835,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,6,0.0411790032311556,0.0135534060248304,132840,132834,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,7,0.0479456448717464,0.0270312301760145,132840,132833,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,8,0.0425429469320504,0.0179110938086322,132840,132832,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,9,0.0437805436589277,0.0203953599632245,132840,132831,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,10,0.0476848552804059,0.0245308588757206,132840,132830,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,11,0.0429373487240372,0.016430602446026,132840,132829,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,12,0.0521319599094801,0.028298059020715,132840,132828,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,13,0.0412906864548687,0.0118421219466523,132840,132827,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,14,0.0342266320183362,0.0084098294087287,132840,132826,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,15,0.0304885998674984,0.009362260524665,132840,132825,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,16,0.0323056460892527,0.0130245251430208,132840,132824,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,17,0.0340894531749353,0.0133978886628408,132840,132823,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
