scale,evaluation,horizon_bars,horizon_minutes,model,group_type,group,n,mse,mae,rmse,mse_ratio_vs_zero,mse_gain_vs_zero,n_candidate_origins_all,n_dropped_nonfinite_all
5min,common_60min,12,60.0,AR_MA_50_50,time_band,fim,221,0.0272606699168244,0.1116562859428163,0.1651080552753996,1.0037609728108754,-0.0037609728108753,1989,0
5min,common_60min,12,60.0,AR_MA_50_50,time_band,inicio,221,0.1217196977682192,0.2580599448121451,0.3488835017139951,1.0008754541939362,-0.0008754541939361,1989,0
5min,common_60min,12,60.0,AR_MA_50_50,time_band,meio,1547,0.0774125936713127,0.1961774085097622,0.2782311874526519,1.0022118629801888,-0.0022118629801888,1989,0
5min,common_60min,12,60.0,AR_MA_50_50,gap_group,high,873,0.079138842122386,0.1974465488413026,0.2813162670774408,1.0019255568675085,-0.0019255568675082,1989,0
5min,common_60min,12,60.0,AR_MA_50_50,gap_group,low,1026,0.0708557638200673,0.1854235582778489,0.2661874599226404,1.0030920780936463,-0.0030920780936463,1989,0
5min,common_60min,12,60.0,ZERO,all,all,1989,0.0766071085539891,0.1934954949673006,0.2767798918888241,1.0,0.0,1989,0
5min,common_60min,12,60.0,ZERO,time_band,fim,221,0.0271585274335633,0.1103011837327578,0.1647984448760466,1.0,0.0,1989,0
5min,common_60min,12,60.0,ZERO,time_band,inicio,221,0.1216132309551414,0.2576515149693111,0.348730886150254,1.0,0.0,1989,0
5min,common_60min,12,60.0,ZERO,time_band,meio,1547,0.0772417455138853,0.1962152508576624,0.2779239923322298,1.0,0.0,1989,0
5min,common_60min,12,60.0,ZERO,gap_group,high,873,0.0789867486460884,0.1974114229015619,0.2810458123617721,1.0,0.0,1989,0
5min,common_60min,12,60.0,ZERO,gap_group,low,1026,0.0706373476248831,0.1850626527180879,0.2657768756398553,1.0,0.0,1989,0
5min,common_60min,12,60.0,TRAIN_MEAN,all,all,1989,0.0767626608559357,0.1936612038688871,0.2770607530054298,1.0020305204684363,-0.0020305204684365,1989,0
5min,common_60min,12,60.0,TRAIN_MEAN,time_band,fim,221,0.0272550705647032,0.1116315358298602,0.16509109777545,1.0035547999196934,-0.0035547999196934,1989,0
5min,common_60min,12,60.0,TRAIN_MEAN,time_band,inicio,221,0.1217175918170583,0.2580557052687406,0.3488804835714637,1.000858137400818,-0.0008581374008178,1989,0
5min,common_60min,12,60.0,TRAIN_MEAN,time_band,meio,1547,0.0774130407602371,0.196180513388769,0.2782319909001069,1.0022176511575729,-0.0022176511575726,1989,0
5min,common_60min,12,60.0,TRAIN_MEAN,gap_group,high,873,0.0791364620317064,0.1974405877843321,0.2813120367700366,1.001895424082954,-0.001895424082954,1989,0
5min,common_60min,12,60.0,TRAIN_MEAN,gap_group,low,1026,0.0708596902847268,0.1854304996873625,0.2661948351954389,1.0031476643350836,-0.0031476643350836,1989,0
15min,native,1,15.0,ARMA_BIC,all,all,7956,0.0186216000793642,0.0938104404344443,0.1364609837256211,1.0005223556075356,-0.0005223556075355,7956,0
15min,native,1,15.0,ARMA_BIC,time_band,fim,884,0.006762894903053,0.0545533962910527,0.0822368220631915,1.0008930101913187,-0.0008930101913187,7956,0
15min,native,1,15.0,ARMA_BIC,time_band,inicio,884,0.0319020228001582,0.1326797025821378,0.1786113736584494,1.0002044976193958,-0.0002044976193957,7956,0
15min,native,1,15.0,ARMA_BIC,time_band,meio,6188,0.0184184975730095,0.0938658378624011,0.1357147654936984,1.0005815989836224,-0.0005815989836224,7956,0
15min,native,1,15.0,ARMA_BIC,gap_group,high,3492,0.0203205296928558,0.0967294190493966,0.1425500953800305,1.0004606866763688,-0.0004606866763687,7956,0
15min,native,1,15.0,ARMA_BIC,gap_group,low,4104,0.0167640850429713,0.089954810417645,0.1294761948891429,1.00082962744778,-0.0008296274477801,7956,0
15min,native,1,15.0,AR_BIC,all,all,7956,0.018622028760061,0.0938276417428929,0.1364625544245052,1.0005453882480584,-0.0005453882480583,7956,0
15min,native,1,15.0,AR_BIC,time_band,fim,884,0.0067721038028084,0.054603534869177,0.0822927931401554,1.0022559063369556,-0.0022559063369556,7956,0
15min,native,1,15.0,AR_BIC,time_band,inicio,884,0.0319005100180502,0.132711926701943,0.1786071387656446,1.000157068292491,-0.0001570682924909,7956,0
15min,native,1,15.0,AR_BIC,time_band,meio,6188,0.0184179492885272,0.0938761877307023,0.1357127454903453,1.0005518135268112,-0.0005518135268112,7956,0
15min,native,1,15.0,AR_BIC,gap_group,high,3492,0.0203303951281642,0.0967594098156295,0.1425846945789212,1.000946401386183,-0.000946401386183,7956,0
15min,native,1,15.0,AR_BIC,gap_group,low,4104,0.01675689264046,0.0899627402381904,0.1294484169098258,1.0004002351184458,-0.0004002351184457,7956,0
15min,native,1,15.0,MA_BIC,all,all,7956,0.0186219840678118,0.0938273813023963,0.1364623906716128,1.000542986972431,-0.0005429869724309,7956,0
15min,native,1,15.0,MA_BIC,time_band,fim,884,0.0067719670898671,0.0546027652683784,0.0822919624864246,1.0022356731336746,-0.0022356731336745,7956,0
15min,native,1,15.0,MA_BIC,time_band,inicio,884,0.031900366173986,0.1327111407284379,0.1786067360823383,1.000152558438026,-0.0001525584380259,7956,0
15min,native,1,15.0,MA_BIC,time_band,meio,6188,0.0184179319066362,0.0938760751035358,0.1357126814510577,1.0005508692586798,-0.0005508692586797,7956,0
15min,native,1,15.0,MA_BIC,gap_group,high,3492,0.0203301680321744,0.0967590510276127,0.1425838982219747,1.0009352205452642,-0.0009352205452641,7956,0
15min,native,1,15.0,MA_BIC,gap_group,low,4104,0.0167569779047369,0.0899625213547055,0.129448746246292,1.0004053254657077,-0.0004053254657077,7956,0
15min,native,1,15.0,AR_MA_50_50,all,all,7956,0.0186220063662955,0.0938275085419371,0.1364624723735266,1.000544185050538,-0.0005441850505381,7956,0
15min,native,1,15.0,AR_MA_50_50,time_band,fim,884,0.0067720354267915,0.0546031232424104,0.0822923776955773,1.002245786842522,-0.002245786842522,7956,0
15min,native,1,15.0,AR_MA_50_50,time_band,inicio,884,0.0319004380327049,0.1327115337151904,0.1786069372468632,1.000154811380238,-0.0001548113802378,7956,0
15min,native,1,15.0,AR_MA_50_50,time_band,meio,6188,0.0184179405481661,0.093876131417119,0.1357127132886458,1.0005513387082527,-0.0005513387082527,7956,0
15min,native,1,15.0,AR_MA_50_50,gap_group,high,3492,0.0203302815293258,0.0967592304216211,0.1425842962227111,1.000940808462494,-0.000940808462494,7956,0
15min,native,1,15.0,AR_MA_50_50,gap_group,low,4104,0.0167569352288095,0.0899626250180588,0.129448581409027,1.0004027776778377,-0.0004027776778376,7956,0
15min,native,1,15.0,ZERO,all,all,7956,0.0186118780604925,0.0937528762314224,0.1364253571023091,1.0,0.0,7956,0
15min,native,1,15.0,ZERO,time_band,fim,884,0.0067568609573567,0.0543627436506442,0.0822001274777404,1.0,0.0,7956,0
15min,native,1,15.0,ZERO,time_band,inicio,884,0.0318955002462884,0.1326050993750214,0.1785931136586414,1.0,0.0,7956,0
15min,native,1,15.0,ZERO,time_band,meio,6188,0.0184077916201125,0.0938297204367337,0.1356753169154675,1.0,0.0,7956,0
15min,native,1,15.0,ZERO,gap_group,high,3492,0.0203111726062546,0.0966559742476853,0.1425172712559944,1.0,0.0,7956,0
15min,native,1,15.0,ZERO,gap_group,low,4104,0.016750188626731,0.0899066019124616,0.1294225197820344,1.0,0.0,7956,0
15min,native,1,15.0,TRAIN_MEAN,all,all,7956,0.0186216000793642,0.0938104404344443,0.1364609837256211,1.0005223556075356,-0.0005223556075355,7956,0
