scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence
30min,12,0.0024700835479911,0.0036067965092141,4428,4416,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,13,0.0201474970030353,0.0198284647175729,4428,4415,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,14,0.0110382257583364,0.0104294240216783,4428,4414,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,15,-0.0061085483514604,-0.0055194421352465,4428,4413,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,16,-0.0139765284716619,-0.0129384176583298,4428,4412,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,17,-0.0012858103649718,-0.001717666655336,4428,4411,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,18,-0.0150244926793463,-0.0172836735503403,4428,4410,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,19,0.0402319150143203,0.0400888621258479,4428,4409,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,20,-0.0039818345069531,-0.0039000467505015,4428,4408,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,21,-0.0089221103671493,-0.0059967694293647,4428,4407,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,22,0.0018655453001795,0.0017192030882224,4428,4406,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,23,-0.0019646376457694,-0.0020108673776189,4428,4405,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,24,0.0061591562506397,0.0031068214339347,4428,4404,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
60min,1,-0.0408412060271923,-0.0408412060271923,2214,2213,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,2,0.0317203761136975,0.0301025832364947,2214,2212,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,3,0.0051958138167692,0.0077015536525879,2214,2211,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,4,0.000674335020697,0.0002319639938312,2214,2210,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,5,-0.0019922733681966,-0.0023646993318852,2214,2209,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,6,-0.0006895463107895,-0.0009332859012877,2214,2208,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,7,0.0313961614576695,0.0315444683082066,2214,2207,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,8,-0.020339808814827,-0.0178222934651602,2214,2206,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,9,0.0057981146112733,0.0023481935273967,2214,2205,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,10,0.0066253716704362,0.0077512372277066,2214,2204,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,11,-0.0113605581449566,-0.010862124309467,2214,2203,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,12,0.0144657482635597,0.0133186181538952,2214,2202,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,13,-0.0179366834642232,-0.0164264178910145,2214,2201,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,14,0.0235632071483679,0.0206536700189656,2214,2200,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,15,0.0118835496119346,0.0157954837586058,2214,2199,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,16,0.0062181163318906,0.0054476797932237,2214,2198,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,17,-0.0297386962604656,-0.030736885370714,2214,2197,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,18,-0.0054838503737085,-0.0076389359656056,2214,2196,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,19,-0.0371564192835782,-0.0372377601181302,2214,2195,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,20,0.0174288981059281,0.0171246221926559,2214,2194,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,21,0.0101409180331803,0.0120143076206718,2214,2193,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,22,0.0217614475891159,0.0218985253498517,2214,2192,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,23,-0.0206879437106001,-0.0194898004000426,2214,2191,0.041655011920138,Yule_Walker_MLE,annual_trading_time
60min,24,0.0435614220344528,0.0417158690179696,2214,2190,0.041655011920138,Yule_Walker_MLE,annual_trading_time
1d,1,-0.044538988406971,-0.044538988406971,246,245,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,2,0.0049893615066451,0.0030116142221759,246,244,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,3,0.0170475734083786,0.0174380095294246,246,243,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,4,0.1540778370158799,0.1559516132846125,246,242,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,5,-0.0376462903662429,-0.0242516844542187,246,241,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,6,0.0290964107522548,0.0252963940001378,246,240,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
