scale,p,q,nobs,h,df,principal_horizon,lb_stat,lb_pvalue,lb_df_software,lb_pvalue_software,lb_squared_stat,lb_squared_pvalue,arch_lags,arch_lm,arch_lm_pvalue,arch_f,arch_f_pvalue,jb_stat,jb_pvalue,residual_type,main_df_rule,calibration,model
15min,0,1,8856,10,8,False,13.773601259216852,0.0878606349072306,9,0.1306096502174409,314.4727430562727,1.349678879040352e-61,12,254.83253010243843,1.3427821454996915e-47,21.836498504314367,2.4505458176349547e-48,26557.866351760666,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
15min,0,1,8856,12,10,False,14.109004094152723,0.1680774090863004,11,0.2270204245321151,315.0158427956953,3.2841843044722194e-60,12,254.83253010243843,1.3427821454996915e-47,21.836498504314367,2.4505458176349547e-48,26557.866351760666,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
15min,0,1,8856,20,18,False,22.56969345329697,0.2076710945090854,19,0.2568269826496503,320.2364185997867,5.843914961755724e-56,12,254.83253010243843,1.3427821454996915e-47,21.836498504314367,2.4505458176349547e-48,26557.866351760666,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
15min,0,1,8856,24,22,True,23.39885425464055,0.379508668823794,23,0.4376920851347236,321.29866432347694,8.413715832575593e-54,12,254.83253010243843,1.3427821454996915e-47,21.836498504314367,2.4505458176349547e-48,26557.866351760666,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
15min,0,1,8856,60,58,False,63.79066149012074,0.2802218492266196,59,0.3118433039485306,435.68701374162526,2.0564396435710912e-58,12,254.83253010243843,1.3427821454996915e-47,21.836498504314367,2.4505458176349547e-48,26557.866351760666,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
30min,0,0,4428,10,9,False,9.989009092413225,0.3513757240711932,10,0.4414580872162581,89.75546645165348,5.988495002294264e-15,12,78.81315869518895,6.9471936304624395e-12,6.667423501914455,5.416569926538448e-12,4759.4252341523015,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
30min,0,0,4428,12,11,False,10.14473840825961,0.5174168071195758,12,0.6032644215352776,91.94719446764232,2.0704251835531375e-14,12,78.81315869518895,6.9471936304624395e-12,6.667423501914455,5.416569926538448e-12,4759.4252341523015,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
30min,0,0,4428,20,19,False,21.80744097214638,0.2939442117812552,20,0.3510501948139272,135.0204309218908,4.428821591419071e-19,12,78.81315869518895,6.9471936304624395e-12,6.667423501914455,5.416569926538448e-12,4759.4252341523015,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
30min,0,0,4428,24,23,True,22.363418848969488,0.4984125208614073,24,0.5575854028300706,139.80126217166705,2.533472724768592e-18,12,78.81315869518895,6.9471936304624395e-12,6.667423501914455,5.416569926538448e-12,4759.4252341523015,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
30min,0,0,4428,60,59,False,63.902263472061065,0.3084066571108718,60,0.3411348560130683,254.6174116546334,8.239017320378006e-26,12,78.81315869518895,6.9471936304624395e-12,6.667423501914455,5.416569926538448e-12,4759.4252341523015,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
30min,1,0,4428,10,8,False,9.808752842023,0.278706435939029,9,0.366188599440811,88.98649996381874,8.505475336535905e-15,12,78.20540174727115,9.066366275056432e-12,6.616606960356695,7.0455670092931546e-12,4755.683849653531,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
30min,1,0,4428,12,10,False,9.964042470459008,0.4436536228575261,11,0.5336244434575128,91.20595165119973,2.8830418130593874e-14,12,78.20540174727115,9.066366275056432e-12,6.616606960356695,7.0455670092931546e-12,4755.683849653531,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
30min,1,0,4428,20,18,False,21.680971109328222,0.2464574712266944,19,0.3004203065286866,134.2193752894539,6.271345708728728e-19,12,78.20540174727115,9.066366275056432e-12,6.616606960356695,7.0455670092931546e-12,4755.683849653531,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
30min,1,0,4428,24,22,True,22.23625515421611,0.4458649842027505,23,0.5060299075678341,138.97120776757745,3.5973085737004685e-18,12,78.20540174727115,9.066366275056432e-12,6.616606960356695,7.0455670092931546e-12,4755.683849653531,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
30min,1,0,4428,60,58,False,64.03422388451253,0.2731329735951017,59,0.3043697559287493,252.9802533462892,1.5521935180027196e-25,12,78.20540174727115,9.066366275056432e-12,6.616606960356695,7.0455670092931546e-12,4755.683849653531,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
30min,0,1,4428,10,8,False,9.799562183913146,0.2793768767978034,9,0.366954297558129,88.94423906750286,8.671007951746903e-15,12,78.17301154346487,9.19585131418142e-12,6.613817174438673,7.147958170207724e-12,4755.419063382337,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
30min,0,1,4428,12,10,False,9.954796177705548,0.4444681058434142,11,0.5344578146495784,91.1648796280346,2.93639451229383e-14,12,78.17301154346487,9.19585131418142e-12,6.613817174438673,7.147958170207724e-12,4755.419063382337,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
30min,0,1,4428,20,18,False,21.67406233156685,0.2467777100865633,19,0.3007766520575505,134.17525012852172,6.39261422777585e-19,12,78.17301154346487,9.19585131418142e-12,6.613817174438673,7.147958170207724e-12,4755.419063382337,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
30min,0,1,4428,24,22,True,22.229153055501403,0.4462842082899631,23,0.5064561576720487,138.92546077472377,3.667452963449957e-18,12,78.17301154346487,9.19585131418142e-12,6.613817174438673,7.147958170207724e-12,4755.419063382337,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
30min,0,1,4428,60,58,False,64.03980730350256,0.2729717240086718,59,0.3041995902304815,252.89865417961417,1.6019261073773775e-25,12,78.17301154346487,9.19585131418142e-12,6.613817174438673,7.147958170207724e-12,4755.419063382337,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
60min,0,0,2214,10,9,False,9.284368520224856,0.4114494529275683,10,0.5053454461151523,42.753244840941,5.5044333544446845e-06,12,40.77994692729165,5.332979658897061e-05,3.44201043977166,4.876633170285651e-05,3210.298015735444,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
60min,0,0,2214,12,11,False,10.038041104280534,0.5269686060078099,12,0.6126232087486787,44.00002768926367,1.5271409497288848e-05,12,40.77994692729165,5.332979658897061e-05,3.44201043977166,4.876633170285651e-05,3210.298015735444,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
60min,0,0,2214,20,19,False,18.202115931414056,0.508977409552368,20,0.5740957910974804,67.92420637601589,3.959962425911918e-07,12,40.77994692729165,5.332979658897061e-05,3.44201043977166,4.876633170285651e-05,3210.298015735444,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
60min,0,0,2214,24,23,True,24.70167363628824,0.3658483300434518,24,0.4221142795126003,73.15851605140739,7.195167017251245e-07,12,40.77994692729165,5.332979658897061e-05,3.44201043977166,4.876633170285651e-05,3210.298015735444,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
60min,0,0,2214,60,59,False,54.57067308178789,0.6393101145834486,60,0.6736602170544447,172.1821502347122,8.976274453578822e-13,12,40.77994692729165,5.332979658897061e-05,3.44201043977166,4.876633170285651e-05,3210.298015735444,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
60min,1,0,2214,10,8,False,5.186884347702266,0.7374277201397089,9,0.8177221903395935,41.80765769891367,8.11319779268789e-06,12,39.95441850687282,7.317227921688138e-05,3.3726044027229616,6.679011944619042e-05,3029.3425615965434,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
60min,1,0,2214,12,10,False,5.828452324878336,0.8294640539241949,11,0.8845615609109251,43.08093274688444,2.1878266467622388e-05,12,39.95441850687282,7.317227921688138e-05,3.3726044027229616,6.679011944619042e-05,3029.3425615965434,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
60min,1,0,2214,20,18,False,13.8675526949106,0.7376835967758788,19,0.7913567876963712,66.69293723362604,6.254378816924995e-07,12,39.95441850687282,7.317227921688138e-05,3.3726044027229616,6.679011944619042e-05,3029.3425615965434,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
60min,1,0,2214,24,22,True,19.981802344691587,0.5841781032743962,23,0.6430093190320869,72.0805743646351,1.0537436623813852e-06,12,39.95441850687282,7.317227921688138e-05,3.3726044027229616,6.679011944619042e-05,3029.3425615965434,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
60min,1,0,2214,60,58,False,50.229087603963336,0.7561106242028711,59,0.7849723836399267,177.17118035436656,1.6734314830882676e-13,12,39.95441850687282,7.317227921688138e-05,3.3726044027229616,6.679011944619042e-05,3029.3425615965434,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
60min,0,1,2214,10,8,False,5.4131179476482645,0.7126456110606243,9,0.7969122157022054,41.759995269705904,8.273010672416539e-06,12,39.90902840352158,7.445204876069662e-05,3.3687022096518526,6.797825801021082e-05,3036.9104322531425,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
60min,0,1,2214,12,10,False,6.064374907334359,0.8098260408454145,11,0.8690345911034795,43.03124151461332,2.230640792223392e-05,12,39.90902840352158,7.445204876069662e-05,3.3687022096518526,6.797825801021082e-05,3036.9104322531425,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
60min,0,1,2214,20,18,False,14.116339206335528,0.7214763651458161,19,0.7768675767157098,66.6586852750889,6.334154683471584e-07,12,39.90902840352158,7.445204876069662e-05,3.3687022096518526,6.797825801021082e-05,3036.9104322531425,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
60min,0,1,2214,24,22,True,20.25879762463589,0.5668551478876254,23,0.626253707680964,72.05013984305258,1.065121279378199e-06,12,39.90902840352158,7.445204876069662e-05,3.3687022096518526,6.797825801021082e-05,3036.9104322531425,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
