scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence,model
1min,1,2.133437200863875e-05,2.1334372008638256e-05,132840,132839,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,2,-0.0026013236133376,-0.0026013240696771,132840,132838,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,3,0.003067003971108,0.003067135867054,132840,132837,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,4,0.0043044051151299,0.0042975520612546,132840,132836,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,5,-0.0037127401241851,-0.0036971070971172,132840,132835,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,6,0.0093623583707078,0.009375912123217,132840,132834,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,7,-0.0042906203852552,-0.0043376705343424,132840,132833,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,8,-0.0028659589717583,-0.0028127492363243,132840,132832,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,9,-0.0032942227336516,-0.0033420122835006,132840,132831,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,10,-0.0103917787530717,-0.0104762265859508,132840,132830,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,11,-0.0012211030024233,-0.0011132768511486,132840,132829,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,12,0.0064206112861207,0.0062925954639644,132840,132828,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,13,0.0002621048642607,0.0004076341243624,132840,132827,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,14,0.0037274182896975,0.0038706271084161,132840,132826,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,15,0.0083459242127816,0.0082821540978078,132840,132825,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,16,-0.0048400675486046,-0.0047305225893084,132840,132824,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,17,-0.0028744977901791,-0.0028976959283634,132840,132823,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,18,-0.0012772408974639,-0.001584259966572,132840,132822,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,19,-0.0046126656035342,-0.0046754578279105,132840,132821,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,20,-0.0056323602372693,-0.0056694072888308,132840,132820,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,21,-0.0059105984825802,-0.0060408651308865,132840,132819,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,22,-0.0039573047741965,-0.0036530166374537,132840,132818,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,23,0.0072088650796752,0.0073560155932655,132840,132817,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,24,0.0048292644809228,0.0049368354310894,132840,132816,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,25,0.0038170231288988,0.0040983446540053,132840,132815,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,26,0.0006457459935152,0.0005312314588925,132840,132814,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,27,-0.0032113826672159,-0.0034678741792448,132840,132813,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,28,-0.0027086389735244,-0.0027651706547894,132840,132812,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,29,0.0016987369017525,0.0013099458817898,132840,132811,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,30,-0.0024852930724246,-0.0026948041613686,132840,132810,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,31,0.0001015287208536,0.0001652594971582,132840,132809,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,32,-0.0071281532088977,-0.0070362379323031,132840,132808,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,33,0.0071064373861257,0.0074728544412509,132840,132807,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,34,0.0027405571116256,0.0030680125233928,132840,132806,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,35,0.0022260691382006,0.0023189104833112,132840,132805,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,36,-0.0008196227720056,-0.0007589907294968,132840,132804,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,37,0.0023631926342358,0.0019902365440911,132840,132803,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,38,-0.0003080746685146,-0.000517476192476,132840,132802,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,39,0.0007451222112549,0.0004773977900657,132840,132801,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,40,0.0023501802987945,0.0022296121008099,132840,132800,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,41,0.0008935528381924,0.000826667275915,132840,132799,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,42,-0.0005392883764468,-0.0004192582356062,132840,132798,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,43,0.0003647644404648,0.000568197712744,132840,132797,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,44,0.0002440148052172,0.0005440691464676,132840,132796,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,45,0.006326020308544,0.0065043885901728,132840,132795,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,46,-0.00121208273,-0.0012450721111014,132840,132794,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,47,-0.0005281142039483,-0.0005332539159809,132840,132793,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,48,-0.0023784028269231,-0.0027410076608176,132840,132792,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,49,-0.0051051758691464,-0.0053201546272096,132840,132791,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,50,-0.0011056869495386,-0.0009961046659254,132840,132790,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,51,-0.0034322103987801,-0.0035133289228791,132840,132789,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,52,0.0021285849020137,0.0022022053088561,132840,132788,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,53,-0.0004131695829168,-0.0002588170354608,132840,132787,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,54,-0.0070301521325626,-0.0068634817864948,132840,132786,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,55,-0.0064495945762425,-0.0060731748090935,132840,132785,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,56,-0.00349908244185,-0.0035945768742252,132840,132784,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,57,-0.0003944697341591,-0.0004658982680766,132840,132783,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,58,0.0024146517733986,0.0022305740342963,132840,132782,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,59,-0.0031143735846198,-0.0032964051024028,132840,132781,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,60,0.0024410269867719,0.0024598667710971,132840,132780,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
5min,1,0.0024168222232547,0.0024168222232547,26568,26567,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,2,-0.0120035256824971,-0.0120094368596328,26568,26566,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,3,0.009973113758314,0.0100330028384887,26568,26565,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,4,-0.0119400088427651,-0.0121373443320849,26568,26564,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,5,-0.0023984898033411,-0.0020956157699716,26568,26563,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,6,0.0002344468212602,-0.0001450780161767,26568,26562,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,7,0.0081822727691123,0.0083719378334641,26568,26561,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,8,-0.0049760078640016,-0.0051212893619361,26568,26560,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
