p,q,nobs,parameters,sequence,trend,llf,aic,bic,mu_pct,sigma2_pct,sigma_pct,ar,ma,params_json,converged,min_ar_root,min_ma_root,method,attempts,numerical_attempts,status,delta_bic,selected,scale
2,5,132840,9,annual_trading_time,c,268317.11089088523,-536616.2217817705,-536528.049675691,-0.0001221247201906,0.0010306347144367,0.0321035000340583,"[-0.15385890319949713, 0.36621546209169004]","[0.145804054472468, -0.3701361965138952, 0.00554210668022494, 0.007345237484597967, -0.005056978545586613]","[-0.0001221247201906546, -0.15385890319949713, 0.36621546209169004, 0.145804054472468, -0.3701361965138952, 0.00554210668022494, 0.007345237484597967, -0.005056978545586613, 0.0010306347144367857]",True,1.4556952015645317,1.5050320012359106,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 1.971804232523894e-07, ""warning"": """"}]",eligible,63.01602288708091,False,1min
3,4,132840,9,annual_trading_time,c,268322.5398269189,-536627.0796538378,-536538.9075477584,-0.000122120438788,0.0010305500874464,0.0321021819732929,"[-0.2788295318093174, 0.21280684530597926, 0.8130522692603249]","[0.2708425622605207, -0.22099950793645912, -0.8094779774874191, 0.010269175905644171]","[-0.00012212043878806903, -0.2788295318093174, 0.21280684530597926, 0.8130522692603249, 0.2708425622605207, -0.22099950793645912, -0.8094779774874191, 0.010269175905644171, 0.001030550087446415]",True,1.062542659729247,1.0629763489059272,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 4, ""gls_iterations"": 2, ""gradient_per_observation"": 1.8403506160645511e-06, ""warning"": """"}]",eligible,52.15815081971232,False,1min
4,3,132840,9,annual_trading_time,c,268323.6517607686,-536629.3035215372,-536541.1314154578,-0.0001221243179131,0.0010305321194516,0.0321019021157889,"[-0.7180692881626373, -0.2932178017291547, 0.4285897594466483, 0.00917293681031177]","[0.7100261748993817, 0.2843145477201834, -0.4278206786964285]","[-0.0001221243179131687, -0.7180692881626373, -0.2932178017291547, 0.4285897594466483, 0.00917293681031177, 0.7100261748993817, 0.2843145477201834, -0.4278206786964285, 0.001030532119451697]",True,1.0702562926550363,1.0704495531721223,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.125166772145374e-06, ""warning"": """"}]",eligible,49.93428312032484,False,1min
5,2,132840,9,annual_trading_time,c,268317.0888150951,-536616.1776301902,-536528.0055241107,-0.0001221246107644,0.0010306348532179,0.0321035021955224,"[-0.15420131857599328, 0.36289162851613155, 0.005639472299473902, 0.00722342523655446, -0.0050875437109132995]","[0.14610554258476566, -0.3667469536540383]","[-0.00012212461076445218, -0.15420131857599328, 0.36289162851613155, 0.005639472299473902, 0.00722342523655446, -0.0050875437109132995, 0.14610554258476566, -0.3667469536540383, 0.001030634853217916]",True,1.4250042274514716,1.464044433435465,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.629072310031859e-07, ""warning"": """"}]",eligible,63.06017446739133,False,1min
3,5,132840,10,annual_trading_time,c,268324.3588463668,-536628.7176927336,-536530.7486859787,-0.0001221113543093,0.0010305223273531,0.0321017495995651,"[-0.1919846177586116, 0.2902920631842412, 0.8410728757429611]","[0.1839626509468956, -0.2944592106273877, -0.8352158839984822, 0.009343515090217091, -0.005221840795871476]","[-0.0001221113543093062, -0.1919846177586116, 0.2902920631842412, 0.8410728757429611, 0.1839626509468956, -0.2944592106273877, -0.8352158839984822, 0.009343515090217091, -0.005221840795871476, 0.0010305223273531813]",True,1.0204134022044185,1.0197666149792348,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 3, ""gradient_per_observation"": 1.4678986982859798e-06, ""warning"": """"}]",eligible,60.317012599436566,False,1min
4,4,132840,10,annual_trading_time,c,268336.592790753,-536653.185581506,-536555.2165747511,-0.0001221224956944,0.0010303322374952,0.0320987887231784,"[-0.4309783866374053, 1.0794005681219057, -0.36074698923714765, -0.9127469147719798]","[0.42327758338850485, -1.0826062816768605, 0.3689715096406597, 0.9167567575901144]","[-0.00012212249569441394, -0.4309783866374053, 1.0794005681219057, -0.36074698923714765, -0.9127469147719798, 0.42327758338850485, -1.0826062816768605, 0.3689715096406597, 0.9167567575901144, 0.001030332237495246]",True,1.0152744567040866,1.016423482362764,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 4, ""gls_iterations"": 2, ""gradient_per_observation"": 4.1626978011094946e-07, ""warning"": """"}]",eligible,35.84912382706534,False,1min
5,3,132840,10,annual_trading_time,c,268324.3998049217,-536628.7996098434,-536530.8306030885,-0.0001221113372828,0.0010305224417549,0.0321017513814275,"[-0.2028953300836247, 0.2931895007908545, 0.8445460268045555, 0.009400278713981663, -0.005224174101685827]","[0.1948605791769072, -0.2973776790439103, -0.8387235436531815]","[-0.00012211133728282447, -0.2028953300836247, 0.2931895007908545, 0.8445460268045555, 0.009400278713981663, -0.005224174101685827, 0.1948605791769072, -0.2973776790439103, -0.8387235436531815, 0.0010305224417549886]",True,1.020418071323834,1.0197708515862756,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 3.0234331397532124e-06, ""warning"": """"}]",eligible,60.23509548965376,False,1min
4,5,132840,11,annual_trading_time,c,268336.72101302433,-536651.4420260487,-536543.6761186182,-0.0001221202518773,0.0010303305846549,0.03209876297702,"[0.14877173128686094, 0.5157044499615198, -0.27835240928854504, -0.6321166966978771]","[-0.15703975984555385, -0.5195093537321737, 0.28536092370401284, 0.6408570100824293, -0.008441799789573734]","[-0.00012212025187735903, 0.14877173128686094, 0.5157044499615198, -0.27835240928854504, -0.6321166966978771, -0.15703975984555385, -0.5195093537321737, 0.28536092370401284, 0.6408570100824293, -0.008441799789573734, 0.0010303305846549116]",True,1.0297838115123763,1.0266074186020364,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 9.201753034031516e-07, ""warning"": """"}]",eligible,47.38957995991223,False,1min
5,4,132840,11,annual_trading_time,c,268336.77593790734,-536651.5518758147,-536543.7859683842,-0.0001221202030831,0.00103032934287,0.0320987436338253,"[0.14314319403419784, 0.5098399987418004, -0.2702591099447648, -0.63229011917714, -0.00849467190171801]","[-0.15147348950205486, -0.5137115308584984, 0.2772928018791657, 0.6410787362569733]","[-0.00012212020308315097, 0.14314319403419784, 0.5098399987418004, -0.2702591099447648, -0.63229011917714, -0.00849467190171801, -0.15147348950205486, -0.5137115308584984, 0.2772928018791657, 0.6410787362569733, 0.0010303293428700403]",True,1.029705529720422,1.0265388263146875,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 9.639931749937776e-07, ""warning"": """"}]",eligible,47.27973019389901,False,1min
5,5,132840,12,annual_trading_time,c,268344.95471025497,-536665.9094205099,-536548.3466124041,-0.0001221206821484,0.001030203110772,0.0320967772645804,"[-0.3522754459686051, 0.22733761799506877, 0.19760759147865986, -0.6267587012473468, -0.6135566901598353]","[0.3432053086721242, -0.23412305985875984, -0.19271321094658114, 0.6378368148027233, 0.6087064871787109]","[-0.00012212068214843542, -0.3522754459686051, 0.22733761799506877, 0.19760759147865986, -0.6267587012473468, -0.6135566901598353, 0.3432053086721242, -0.23412305985875984, -0.19271321094658114, 0.6378368148027233, 0.6087064871787109, 0.0010302031107720891]",True,1.0285287453372949,1.0254169823431047,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.6290723100318587e-06, ""warning"": """"}]",eligible,42.71908617403824,False,1min
