lag,minutes,acf,pacf,acf_ci_95,pacf_ci_95,acf_n_pairs,pacf_nobs,acf_conventional,pacf_conventional,acf_significant,pacf_significant,scale,label,bar_minutes,separation_value,separation_unit
52,52.0,0.002063393555203753,0.0018947680548892917,0.005656901370899557,0.005656901370899557,120048,120048,0.0021599964048310545,0.0021754571770320964,False,False,1min,1 minuto,1.0,52,minutos
53,53.0,-0.000664353936258318,-0.0004405330038598492,0.005662706299436595,0.005662706299436595,119802,119802,-0.0003731878189457737,-0.0001850694565012996,False,False,1min,1 minuto,1.0,53,minutos
54,54.0,-0.008559070997155294,-0.007881577505542237,0.005668529135216072,0.005668529135216072,119556,119556,-0.006974174616213598,-0.006815453016386237,True,True,1min,1 minuto,1.0,54,minutos
55,55.0,-0.006209334102535276,-0.00564338007789857,0.005674369970495862,0.005674369970495862,119310,119310,-0.00636365941729246,-0.006099443433298731,True,False,1min,1 minuto,1.0,55,minutos
56,56.0,-0.004464717083916332,-0.004363593158800616,0.005680228898200651,0.005680228898200651,119064,119064,-0.0034432079203765126,-0.0036405233997259473,False,False,1min,1 minuto,1.0,56,minutos
57,57.0,-0.0008647583643653596,-0.000936391826926947,0.005686106011928141,0.005686106011928141,118818,118818,-0.0003856388420276251,-0.0005138309080305433,False,False,1min,1 minuto,1.0,57,minutos
58,58.0,0.0014537266650790734,0.001172171556124456,0.005692001405955339,0.005692001405955339,118572,118572,0.0024433401029283217,0.0022533375390372777,False,False,1min,1 minuto,1.0,58,minutos
59,59.0,-0.0030616261628357132,-0.0030980898522694985,0.005697915175244901,0.005697915175244901,118326,118326,-0.003154012309323664,-0.0032981023137952418,False,False,1min,1 minuto,1.0,59,minutos
60,60.0,0.0036854670223917005,0.0034141091778088347,0.005703847415451556,0.005703847415451556,118080,118080,0.0024237559188208598,0.002388521148970439,False,False,1min,1 minuto,1.0,60,minutos
0,0.0,1.0,1.0,0.012024766172594402,0.012024766172594402,26568,26568,1.0,1.0,False,False,5min,5 minutos,5.0,0,minutos
1,5.0,0.0024396615186024822,0.002416801353861768,0.012080825992448873,0.012080825992448873,26322,26322,0.0024168222232547505,0.002416822223254752,False,False,5min,5 minutos,5.0,5,minutos
2,10.0,-0.011523707758756697,-0.01134766350434954,0.012137677252306037,0.012137677252306037,26076,26076,-0.012003525682497105,-0.012009436859632808,False,False,5min,5 minutos,5.0,10,minutos
3,15.0,0.009870818285286713,0.009722693803606866,0.012195338751460437,0.012195338751460437,25830,25830,0.009973113758314039,0.010033002838488719,False,False,5min,5 minutos,5.0,15,minutos
4,20.0,-0.0115653127941217,-0.011471600007950427,0.012253829920368704,0.012253829920368704,25584,25584,-0.01194000884276515,-0.012137344332084986,False,False,5min,5 minutos,5.0,20,minutos
5,25.0,-0.002188769969849001,-0.0018713986537850307,0.012313170848158412,0.012313170848158412,25338,25338,-0.0023984898033411147,-0.002095615769971634,False,False,5min,5 minutos,5.0,25,minutos
6,30.0,7.057232085978288e-05,-0.0002070541458504849,0.012373382311616646,0.012373382311616646,25092,25092,0.0002344468212602763,-0.00014507801617677293,False,False,5min,5 minutos,5.0,30,minutos
7,35.0,0.008372293130958658,0.008125281136432938,0.012434485805753346,0.012434485805753346,24846,24846,0.008182272769112299,0.008371937833464124,False,False,5min,5 minutos,5.0,35,minutos
