p,q,nobs,parameters,llf,aic,bic,mu_pct,sigma_pct,ar,ma,converged,message,starts,gradient_max,min_ar_root,min_ma_root,status,delta_bic,selected,scale
3,3,26568.0,8.0,32445.147309149484,-64874.29461829897,-64808.794916194514,-0.0006105901686271599,0.0713434666106599,"[-2.015287335698002, -1.8762325811036806, -0.8562583889685804]","[2.0166775789580873, 1.8689812925466271, 0.8490638366030108]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,0.00012583267697873632,1.0056095811632975,1.003910196398995,eligible,48.462110577318526,False,5min
4,2,26568.0,8.0,32444.113362906173,-64872.22672581235,-64806.72702370789,-0.0006090104043740446,0.07135283056861672,"[0.1722025958345348, 0.601200805158552, 0.008904958622748179, -0.005631064852086651]","[-0.1694986901057033, -0.6134994793622962]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,6.2172489379378e-07,1.1520448938910521,1.1460227327277088,eligible,50.53000306394097,False,5min
5,1,26568.0,8.0,32443.707454921103,-64871.414909842206,-64805.91520773775,-0.0006103073073296791,0.07135405359151535,"[0.014048785046811405, -0.011740145756502975, 0.010084238767471674, -0.011852692535488669, -0.001784766797001076]",[-0.011391815419812585],True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,3.9968028886742995e-07,2.885116255046866,87.78232117953783,eligible,51.34181903408171,False,5min
2,5,26568.0,9.0,32447.096762389294,-64876.19352477859,-64802.50635991108,-0.0006120492022834883,0.07134326347008725,"[1.2159255349325468, -0.9063542908622828]","[-1.2134155795483965, 0.8915372205705698, 0.026871318596531003, -0.032193124865357844, 0.014729561691337238]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,1.310063169065465e-06,1.050391025341606,1.0558555644515313,eligible,54.75066686075297,False,5min
3,4,26568.0,9.0,32447.623637426237,-64877.247274852474,-64803.56010998497,-0.0006118295581942035,0.07134147067426522,"[0.5094035215803087, -0.0708992623359398, -0.6620752289037629]","[-0.5068599995547958, 0.05777085341241238, 0.6760556181546152, -0.017362625563617416]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,1.9984014342837957e-07,1.0346214466993595,1.0378103241117642,eligible,53.696916786866495,False,5min
4,3,26568.0,9.0,32447.62479988725,-64877.2495997745,-64803.56243490699,-0.0006118152249416996,0.07134146028563591,"[0.4917244111178311, -0.0662177500982999, -0.657288404324373, -0.017332943955560277]","[-0.48918600297537285, 0.05324927857376305, 0.6711427806053695]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,2.6645352586539766e-07,1.0343941172646738,1.0376059626032168,eligible,53.69459186484164,False,5min
5,2,26568.0,9.0,32447.044043194546,-64876.08808638909,-64802.400921521585,-0.0006120261737381588,0.07134339647276446,"[1.2106785338515302, -0.9136706986984717, 0.026396823853478246, -0.031834212735625214, 0.014552233114400256]","[-1.2082438888010434, 0.8991449352955141]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,5.750955238661145e-06,1.0492428804798006,1.0545936423248856,eligible,54.85610525024822,False,5min
3,5,26568.0,10.0,32447.626307207378,-64875.252614414756,-64793.37798678419,-0.0006118061939349703,0.07134145215405764,"[0.5236007873525166, -0.08546118586578844, -0.6508686261046169]","[-0.5210679594230677, 0.072482752802574, 0.6652161744502231, -0.017927243680832754, 0.0007499065729991674]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,9.325873359991047e-07,1.0342834402085817,1.0375135978668353,eligible,63.87903998764523,False,5min
4,4,26568.0,10.0,32447.624905234916,-64875.24981046983,-64793.37518283926,-0.0006118181218379853,0.07134146145749595,"[0.4958696913073572, -0.06741557589722195, -0.6582865683827246, -0.013365121643481177]","[-0.49333251503667236, 0.05440775386493035, 0.6721747207319356, -0.003980439762338066]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,1.376676543617726e-06,1.0344487095218178,1.0376557568596603,eligible,63.88184393256961,False,5min
5,3,26568.0,10.0,32447.625015711754,-64875.25003142351,-64793.37540379294,-0.0006118214651018693,0.071341462673706,"[0.4880420844344324, -0.0626477325930298, -0.6601701030911327, -0.017190954682078995, -0.00020487656284053784]","[-0.4855047209792633, 0.04963400503392601, 0.6739345260010798]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,1.2656542417130706e-06,1.0345064895177514,1.0377089540755071,eligible,63.881622978893574,False,5min
