scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
1min,2024-01-12,2024-01-12,2024-01-12,540,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.17467363271685662,0.3228443618261197,0.7428,0.4614,0.3475,12.0,540.0,False,
1min,2024-01-15,2024-01-15,2024-01-15,540,main,ADF,c,unit_root,12.0,bic,False,ok,-23.64623826886547,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-15,2024-01-15,2024-01-15,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-23.690860571726166,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-15,2024-01-15,2024-01-15,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.2536921382965799,0.18398443808130782,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-15,2024-01-15,2024-01-15,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-23.702737947372487,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
1min,2024-01-15,2024-01-15,2024-01-15,540,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-23.765954159520458,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,6.0,539.0,True,
1min,2024-01-15,2024-01-15,2024-01-15,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.10046341544464817,0.15976069643528995,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-15,2024-01-15,2024-01-15,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-23.64623826886547,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-15,2024-01-15,2024-01-15,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-23.687355733044722,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
1min,2024-01-15,2024-01-15,2024-01-15,540,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.2531856908963279,0.1846337296200924,0.7428,0.4614,0.3475,12.0,540.0,False,
