scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
30min,2024-01-17,2024-01-17,2024-01-17,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-10.47633874427222,1.2462257172820324e-18,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-17,2024-01-17,2024-01-17,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.2088372016309858,0.2515407113732397,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-17,2024-01-17,2024-01-17,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-8.974791472418847,7.583163137625662e-15,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-17,2024-01-17,2024-01-17,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-10.878715716980384,1.311382712918519e-19,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-17,2024-01-17,2024-01-17,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.2376840263311346,0.20529996342897971,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-18,2024-01-18,2024-01-18,18,main,ADF,c,unit_root,2.0,bic,True,ok,-1.870939300707462,0.34585321185507484,-3.9240193847656246,-3.0684982031250003,-2.67389265625,1,16,False,
30min,2024-01-18,2024-01-18,2024-01-18,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-3.884066174437095,0.0021552914114653086,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-18,2024-01-18,2024-01-18,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.2148343064156214,0.24083159568639034,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-18,2024-01-18,2024-01-18,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-1.870939300707462,0.34585321185507484,-3.9240193847656246,-3.0684982031250003,-2.67389265625,1,16,False,
30min,2024-01-18,2024-01-18,2024-01-18,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-3.9759393470515256,0.0015418747440970007,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-18,2024-01-18,2024-01-18,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.1988631967354177,0.2702682416952594,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-19,2024-01-19,2024-01-19,18,main,ADF,c,unit_root,2.0,bic,True,ok,-3.272170575091995,0.016169214227615764,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-19,2024-01-19,2024-01-19,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-3.3091611152391267,0.014473905815631051,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-19,2024-01-19,2024-01-19,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.45001202727052486,0.05355874147796098,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-19,2024-01-19,2024-01-19,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-3.272170575091995,0.016169214227615764,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-19,2024-01-19,2024-01-19,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-3.4399706208787872,0.009669441439270196,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
