lag,valid_pairs,acf,pacf,q,acf_band,pacf_band,scale
1,1968,-0.0403976253735483,-0.04210527477314139,4.0684965626031335,0.03927272186551483,0.04418181209870418,60min
2,1722,0.0517884003674454,0.057328952323572574,11.710007148498807,0.036736267466705504,0.04723234388576423,60min
3,1476,0.006413834453601174,0.012512533617839775,11.846747441950429,0.03401117481129643,0.05101676221694465,60min
4,1230,0.013290507211245106,0.01602816309198523,12.55131942876142,0.03104781275233094,0.0558860629541957,60min
1,236,-0.024267850927250777,-0.024731002151075782,0.15224303108039094,0.12239874525058919,0.1275851327612074,1d
2,226,-0.021813469159405484,-0.024758810431625037,0.28069117383420744,0.11977748333988171,0.1303772606265969,1d
3,217,-0.010466889299956917,-0.013205997368508006,0.31149199648325654,0.11736830459677325,0.13305346972721763,1d
4,209,0.08375520444814968,0.1009328701309956,2.359181518375169,0.11518451747077188,0.13557603491775064,1d
5,201,-0.019324599460648243,-0.017878827986359945,2.4725289627748612,0.11295851984701356,0.13824774070828524,1d
6,193,0.05042407605569739,0.0774958539915673,3.2762500762975795,0.11068776511919357,0.14108388714674414,1d
7,185,0.04302927547472989,0.08703316260797639,3.886830852346632,0.10836943982569704,0.1441020659303863,1d
8,178,-0.030179776370197312,-0.06329503165422207,4.199006355483016,0.10629943725889275,0.14690821104318882,1d
9,171,-0.006060895424670542,0.003861758213604491,4.212112177295315,0.10418831621146,0.14988494612876702,1d
10,164,0.03299339211682103,0.060399421369106164,4.617057956790557,0.10203352443388929,0.15305028665083395,1d
